MONTH,LAST,CHANGE,PRIOR SETTLE,OPEN,HIGH,LOW,VOLUME,year,month,PERIOD,PERIODT1,PERIODT2
20211001,99.8725,-0.0049999999999954525,99.8775,99.875,99.8775,99.8725,44333,2021,10,0.0,0.0,0.25
20211101,99.86,-0.0049999999999954525,99.865,99.865,99.865,99.86,10956,2021,11,0.08333333333333333,0.08333333333333333,0.3333333333333333
20211201,99.83,-0.010000000000005116,99.84,99.84,99.84,99.83,227486,2021,12,0.16666666666666666,0.16666666666666666,0.41666666666666663
20220101,99.855,-0.0049999999999954525,99.86,99.86,99.86,99.855,7907,2022,1,0.25,0.25,0.5
20220201,99.855,-0.0049999999999954525,99.86,99.855,99.86,99.855,977,2022,2,0.33333333333333337,0.33333333333333337,0.5833333333333334
20220301,99.845,-0.010000000000005116,99.855,99.85,99.855,99.845,219037,2022,3,0.41666666666666663,0.41666666666666663,0.6666666666666666
20220401,-,-,0.00,-,-,-,0,2022,4,0.5,0.5,0.75
20220501,-,-,-,-,-,-,0,2022,5,0.5833333333333333,0.5833333333333333,0.8333333333333333
20220601,99.765,-0.025000000000005684,99.79,99.785,99.795,99.765,512154,2022,6,0.6666666666666667,0.6666666666666667,0.9166666666666667
20220901,99.645,-0.020000000000010232,99.665,99.665,99.68,99.64,447754,2022,9,0.9166666666666666,0.9166666666666666,1.1666666666666665
20221201,99.45,-0.024999999999991473,99.475,99.47,99.49,99.45,491151,2022,12,1.1666666666666667,1.1666666666666667,1.4166666666666667
20230301,99.305,-0.03499999999999659,99.34,99.335,99.355,99.30,258404,2023,3,1.4166666666666665,1.4166666666666665,1.6666666666666665
20230601,99.14,-0.04000000000000625,99.18,99.175,99.195,99.135,248645,2023,6,1.6666666666666667,1.6666666666666667,1.9166666666666667
20230901,98.905,-0.045000000000001705,98.95,98.945,98.97,98.90,176618,2023,9,1.9166666666666667,1.9166666666666667,2.166666666666667
20231201,98.76,-0.05499999999999261,98.815,98.81,98.84,98.755,324060,2023,12,2.1666666666666665,2.1666666666666665,2.4166666666666665
20240301,98.635,-0.05499999999999261,98.69,98.68,98.72,98.63,108560,2024,3,2.4166666666666665,2.4166666666666665,2.6666666666666665
20240601,98.52,-0.060000000000002274,98.58,98.565,98.61,98.515,99480,2024,6,2.6666666666666665,2.6666666666666665,2.9166666666666665
20240901,98.41,-0.06499999999999773,98.475,98.46,98.505,98.41,97814,2024,9,2.9166666666666665,2.9166666666666665,3.1666666666666665
20241201,98.31,-0.06999999999999318,98.38,98.365,98.41,98.31,160076,2024,12,3.1666666666666665,3.1666666666666665,3.4166666666666665
20250301,98.245,-0.06499999999999773,98.31,98.295,98.34,98.245,51166,2025,3,3.4166666666666665,3.4166666666666665,3.6666666666666665
20250601,98.185,-0.060000000000002274,98.245,98.235,98.275,98.18,40639,2025,6,3.6666666666666665,3.6666666666666665,3.9166666666666665
20250901,98.125,-0.06499999999999773,98.19,98.175,98.215,98.125,33227,2025,9,3.9166666666666665,3.9166666666666665,4.166666666666666
20251201,98.06,-0.06499999999999773,98.125,98.11,98.15,98.06,41057,2025,12,4.166666666666667,4.166666666666667,4.416666666666667
20260301,98.02,-0.060000000000002274,98.08,98.065,98.105,98.02,27202,2026,3,4.416666666666667,4.416666666666667,4.666666666666667
20260601,97.965,-0.06499999999999773,98.03,98.015,98.05,97.965,25028,2026,6,4.666666666666667,4.666666666666667,4.916666666666667
20260901,97.92,-0.060000000000002274,97.98,97.97,98.00,97.92,31297,2026,9,4.916666666666667,4.916666666666667,5.166666666666667
20261201,97.88,-0.045000000000001705,97.925,97.90,97.94,97.87,1245,2026,12,5.166666666666667,5.166666666666667,5.416666666666667
20270301,97.86,-0.030000000000001137,97.89,97.865,97.90,97.85,1784,2027,3,5.416666666666667,5.416666666666667,5.666666666666667
20270601,97.80,-0.045000000000001705,97.845,97.82,97.85,97.80,559,2027,6,5.666666666666667,5.666666666666667,5.916666666666667
20270901,97.75,-0.060000000000002274,97.81,97.78,97.82,97.74,917,2027,9,5.916666666666667,5.916666666666667,6.166666666666667
20271201,-,-,97.76,-,-,-,163,2027,12,6.166666666666667,6.166666666666667,6.416666666666667
20280301,-,-,97.73,-,-,-,43,2028,3,6.416666666666667,6.416666666666667,6.666666666666667
20280601,-,-,97.695,-,-,-,53,2028,6,6.666666666666667,6.666666666666667,6.916666666666667
20280901,-,-,97.665,-,-,-,55,2028,9,6.916666666666667,6.916666666666667,7.166666666666667
20281201,-,-,97.63,-,-,-,22,2028,12,7.166666666666667,7.166666666666667,7.416666666666667
20290301,-,-,97.605,-,-,-,0,2029,3,7.416666666666667,7.416666666666667,7.666666666666667
20290601,-,-,97.575,-,-,-,0,2029,6,7.666666666666667,7.666666666666667,7.916666666666667
20290901,-,-,97.56,-,-,-,0,2029,9,7.916666666666667,7.916666666666667,8.166666666666668
20291201,-,-,97.535,-,-,-,0,2029,12,8.166666666666666,8.166666666666666,8.416666666666666
20300301,-,-,97.515,-,-,-,0,2030,3,8.416666666666666,8.416666666666666,8.666666666666666
20300601,-,-,97.49,-,-,-,0,2030,6,8.666666666666666,8.666666666666666,8.916666666666666
20300901,-,-,97.48,-,-,-,0,2030,9,8.916666666666666,8.916666666666666,9.166666666666666
20301201,-,-,97.465,-,-,-,0,2030,12,9.166666666666666,9.166666666666666,9.416666666666666
20310301,-,-,97.455,-,-,-,0,2031,3,9.416666666666666,9.416666666666666,9.666666666666666
20310601,-,-,97.445,-,-,-,0,2031,6,9.666666666666666,9.666666666666666,9.916666666666666
20310901,-,-,97.44,-,-,-,0,2031,9,9.916666666666666,9.916666666666666,10.166666666666666
